A-in,B-in,A-out,B-out
6.800509391,5.708496887,9.009414034,7.926911015
7.338583469,6.026963262,9.018369569,8.574360997
3.613785923,4.020745539,8.801678495,8.948964597
8.291227491,10.06738999,8.291354374,10.90427907
5.57296416,9.647977874,10.20839155,10.76539561
6.062347008,9.879742022,9.95730439,10.51003556
8.927239719,9.888888318,10.6580745,9.099580975
9.282722127,9.950852654,10.35812631,12.29718851
9.380303012,10.08648779,10.27219636,10.96286737
9.847493351,6.28933332,9.69805983,11.28717373
8.548523511,9.710677522,9.098686615,12.79914586
8.731991033,9.21184194,9.020744393,10.34699193
8.682986869,9.447788315,8.918106657,10.70519303
9.585787355,6.552677461,8.449453892,10.52058268
7.557517554,6.300836913,10.62698762,10.43561771
9.621708836,6.328130296,9.902152,10.41873528
9.701927056,5.637914041,10.5060576,9.694220188
9.76090135,5.953168419,10.29534848,10.22846618
10.29297397,10.60370917,10.23813658,10.62854678
9.553395597,10.57543892,9.650233179,10.97400035
6.76640531,9.954420025,10.49426421,12.8333765
8.75066439,10.89261416,9.987924379,12.62284027
8.841819807,11.48335953,9.977321316,12.41100037
8.814624651,11.77004238,9.098519606,10.22999082
9.673153537,10.31871605,10.02555047,12.31020953
8.00218477,9.295406451,9.460012828,11.09789668
4.198266668,9.831018897,9.881861975,11.32182745
6.757521279,12.10862782,9.578817078,12.03475837
8.820421243,9.79990997,9.422687823,11.30052909
8.773745857,10.51652612,10.79426593,11.63269373
8.786341702,10.7383017,8.845612212,11.58546045
9.583693928,10.21385002,9.214867201,11.38415022
7.927841239,9.437498595,9.037353654,11.443054
4.421153218,9.329759911,8.585470943,10.76419506
7.14999661,10.93097209,10.07345331,7.679011073
2.665497445,6.213771559,9.903356198,7.074909937
7.649874062,9.95753672,10.64459594,7.676236619
8.563856779,9.98892737,10.20433811,10.51137851
8.78461096,10.24645781,10.07887039,10.6480971
9.512024389,10.27010182,9.517738568,9.811215482
9.890277914,9.334058317,9.16561959,8.175495883
9.30548871,9.151826264,8.880502664,11.82931752
10.52125885,10.90802372,8.535927434,10.95801835
8.742984612,6.406821113,7.703396872,10.95510073
8.586751625,3.958555907,10.63363285,12.08820698
4.447752067,11.74371754,9.715520776,10.0356333
6.233268791,11.2360079,10.37642749,9.104116389
6.452110917,11.50446505,10.03073899,8.998625521
3.950918396,8.443013651,9.910465271,9.271817479
5.124831192,8.063531036,9.976638857,8.313939724
6.720150956,8.67084022,10.21271185,9.155234598
5.072025566,11.28333784,9.781978164,10.63248534
5.205013039,8.984741241,9.633173304,10.11372068
7.418811829,8.862490044,9.228625362,10.6004755
5.665942668,8.640238862,9.921446415,8.449451865
5.9909005,8.459775858,9.393674644,9.125312982
6.042958849,8.905347082,9.665545378,9.297097091
5.090629641,8.842811113,9.414090808,11.29172823
6.119366296,10.68849263,9.44065119,11.9833745
6.825058072,9.897891514,10.58316788,12.04549369
7.307967339,9.784157778,10.28361215,11.99101672
7.512535034,7.304876924,10.03970363,10.29394703
