,FileName,qstart,qend,length
0,B67_01.pdb,1,178,178
1,B27_06.pdb,1,178,178
2,B27_09.pdb,1,178,178
3,B35_01.pdb,1,178,178
4,B58_02.pdb,1,178,178
5,B07_02.pdb,1,178,178
6,B07_03.pdb,1,178,178
7,B40_01.pdb,1,178,178
8,B48_01.pdb,1,178,178
9,B08_01.pdb,1,178,178
10,B15_01.pdb,1,178,178
11,B27_03.pdb,1,178,178
12,B18_01.pdb,1,178,178
13,B15_09.pdb,1,178,178
14,B07_05.pdb,1,178,178
15,B38_01.pdb,1,178,178
16,B44_02.pdb,1,178,178
17,B52_01.pdb,1,178,178
18,B15_16.pdb,1,178,178
19,B15_08.pdb,1,178,178
20,B27_07.pdb,1,178,178
21,B15_03.pdb,1,178,178
22,B15_17.pdb,1,178,178
23,B39_09.pdb,1,178,178
24,B54_01.pdb,1,178,178
25,B51_03.pdb,1,178,178
26,B78_01.pdb,1,178,178
27,B39_01.pdb,1,178,178
28,B14_02.pdb,1,178,178
29,B27_04.pdb,1,178,178
30,B44_03.pdb,1,178,178
31,B40_02.pdb,1,178,178
32,B45_01.pdb,1,178,178
33,B57_01.pdb,1,178,178
34,B39_02.pdb,1,178,178
35,B51_01.pdb,1,178,178
36,B35_03.pdb,1,178,178
37,B55_02.pdb,1,178,178
38,B15_18.pdb,1,178,178
39,B58_01.pdb,1,178,178
40,B15_13.pdb,1,178,178
41,B37_01.pdb,1,178,178
42,B27_05.pdb,1,178,178
43,B51_02.pdb,1,178,178
44,B46_01.pdb,1,178,178
45,B56_01.pdb,1,178,178
46,B73_01.pdb,1,178,178
47,B15_12.pdb,1,178,178
48,B55_01.pdb,1,178,178
49,B57_02.pdb,1,178,178
50,B40_06.pdb,1,178,178
51,B42_01.pdb,1,178,178
52,B27_02.pdb,1,178,178
53,B15_10.pdb,1,178,178
54,B08_02.pdb,1,178,178
55,B53_01.pdb,1,178,178
56,B15_02.pdb,1,178,178
